                                                                                               occupation  A0  A1  A2  A3  A4  total
                                                           Electrical Power-Line Installers and Repairers  16   1   1   4   0     22
                                                  Molders, Shapers, and Casters, Except Metal and Plastic   8   5   4   5   0     22
                                                             Automotive Service Technicians and Mechanics   7   5   5   5   0     22
                                             Geographic Information Systems Technologists and Technicians   0   0   4   7  11     22
                                                 Computer, Automated Teller, and Office Machine Repairers   5   5   4   6   2     22
                                                                                  Transportation Planners   0   0   0  18   3     21
                                            Janitors and Cleaners, Except Maids and Housekeeping Cleaners   8   6   3   4   0     21
                                                               Judges, Magistrate Judges, and Magistrates   1   0   0  20   0     21
                                                                                             Upholsterers  11   6   4   0   0     21
                                                                                     Chefs and Head Cooks   1   0  10   8   2     21
                                                                                 Cargo and Freight Agents   1   2   7   8   3     21
                                                               Occupational Health and Safety Specialists   3   0   4  13   1     21
                                                              Ushers, Lobby Attendants, and Ticket Takers   6   5   5   5   0     21
                                                                                   Recycling Coordinators   0   0   1  16   4     21
                                         Petroleum Pump System Operators, Refinery Operators, and Gaugers   4   2   0  15   0     21
                                                                          Financial Quantitative Analysts   0   0   0  15   6     21
                                                                         Laundry and Dry-Cleaning Workers   5  11   2   3   0     21
                                                                     Advanced Practice Psychiatric Nurses   2   3   2  14   0     21
                                                                               Water/Wastewater Engineers   0   0   1  16   4     21
                                           First-Line Supervisors of Mechanics, Installers, and Repairers   1   0   3  13   4     21
                                  First-Line Supervisors of Material-Moving Machine and Vehicle Operators   0   0   4  14   3     21
                                                                                               Biologists   0   0   5  12   4     21
                                                     Sawing Machine Setters, Operators, and Tenders, Wood   5   4   2  10   0     21
                                            Mail Clerks and Mail Machine Operators, Except Postal Service   0   6   8   1   6     21
                                   First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand   0   0   6  14   1     21
                                                                                  Manufacturing Engineers   0   0   2  12   7     21
                                                                                                Surveyors   2   0   3  13   3     21
                                                                  Tailors, Dressmakers, and Custom Sewers  13   4   0   2   2     21
                                                                                               Historians   1   1   4   3  12     21
                                                                                        Acute Care Nurses   2   1   8   9   1     21
                                                 Nanotechnology Engineering Technologists and Technicians   2   0   5  10   4     21
                                                                             Speech-Language Pathologists   0   2  10   7   2     21
                                                                             Forensic Science Technicians   4   0   7  10   0     21
                                               Textile Bleaching and Dyeing Machine Operators and Tenders   4   2   4  11   0     21
                                                                       Environmental Restoration Planners   0   0   3  17   1     21
                                                              Fraud Examiners, Investigators and Analysts   2   0   0  15   4     21
                                               Environmental Scientists and Specialists, Including Health   0   0   4  15   2     21
                       Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders   3   2   7   7   2     21
                                                       Substance Abuse and Behavioral Disorder Counselors   1   3  11   6   0     21
                                                                                       Costume Attendants   1   8   7   2   3     21
                                                                 Child, Family, and School Social Workers   0   1   9  11   0     21
                                                                 Structural Metal Fabricators and Fitters  10   3   4   4   0     21
                                                                                   Exercise Physiologists   5   1   1  13   1     21
                                                                                              Millwrights  12   3   2   3   0     20
                                                                                        Nuclear Engineers   0   0   0  19   1     20
                                                                          Occupational Therapy Assistants   6   3   5   6   0     20
                                                        Licensed Practical and Licensed Vocational Nurses   6   3   4   7   0     20
                                                                 Arbitrators, Mediators, and Conciliators   0   1   2  14   3     20
                                                                                       Marketing Managers   0   0   2  12   6     20
                                           Operating Engineers and Other Construction Equipment Operators   3   3   2  11   1     20
                                                          First-Line Supervisors of Police and Detectives   1   1   2  16   0     20
                                                                                      Materials Engineers   0   0   0  12   8     20
                                                           First-Line Supervisors of Retail Sales Workers   0   0   7  10   3     20
                                                                  Information Technology Project Managers   0   0   1  10   9     20
                                                                                    Nanosystems Engineers   0   0   0  15   5     20
                                                                              Personal Financial Advisors   0   1   2  16   1     20
                                                    Geological Technicians, Except Hydrologic Technicians   3   0   6   8   3     20
                               Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic   1   2   1  16   0     20
                                                                           Payroll and Timekeeping Clerks   0   0   2  16   2     20
                                                                                 Investment Fund Managers   0   0   1  19   0     20
                                                                                         Park Naturalists   3   3   6   3   5     20
                                                                                      Patternmakers, Wood   6   5   5   2   2     20
                                                                                        Animal Caretakers   5   3   4   6   2     20
                                                                 Radiologic Technologists and Technicians   3   2   4   9   2     20
                                                                                                 Coroners   3   0   2  15   0     20
                                                                       Social Science Research Assistants   0   1   7   6   6     20
                                                                                             Spa Managers   0   0   7   6   7     20
                                            Executive Secretaries and Executive Administrative Assistants   1   1   2  11   5     20
                                                          Exercise Trainers and Group Fitness Instructors   3   5   6   6   0     20
                                            Aircraft Structure, Surfaces, Rigging, and Systems Assemblers   7   2   1  10   0     20
                                                                 Chemical Equipment Operators and Tenders   2   2   1  15   0     20
                                                                           Project Management Specialists   0   0   2   7  11     20
                                                                             Postal Service Mail Carriers   3   7   5   4   1     20
                                                                                               Bartenders   7   3   1   8   1     20
                                                       Career/Technical Education Teachers, Postsecondary   1   0   6   7   6     20
                                                                                      Database Architects   0   0   0   9  11     20
                                                                       Cabinetmakers and Bench Carpenters  11   1   5   3   0     20
                                                         Tax Examiners and Collectors, and Revenue Agents   1   1   1  16   1     20
                                                              Remote Sensing Scientists and Technologists   1   0   6   6   7     20
                                                                   Adapted Physical Education Specialists   3   3   9   4   1     20
                                                                                             Audiologists   1   2   5   8   4     20
                                                                                       Rail Car Repairers   9   1   6   4   0     20
                                                                                                  Editors   0   0   3  11   6     20
                                                                                      Writers and Authors   0   0   1   6  13     20
                                                                                            Photographers   4   4   5   2   5     20
                                                                                                   Clergy   2   3   9   5   1     20
                                                                              Highway Maintenance Workers  10   0   2   7   0     19
                                                                                        Cooks, Restaurant   7   1   3   6   2     19
                                                                              Medical Equipment Repairers   3   3   4   8   1     19
                                                                                            Phlebotomists   8   2   2   6   1     19
                                                                      Social and Human Service Assistants   1   5   8   4   1     19
                                                                                 Advertising Sales Agents   0   1   4  10   4     19
                                                                                     School Psychologists   0   1   9   9   0     19
                                                                        Molecular and Cellular Biologists   0   0   4  12   3     19
                                                                      Demonstrators and Product Promoters   5   5   6   0   3     19
                                                                       Retail Loss Prevention Specialists   1   0   4  13   1     19
                                                            Directors, Religious Activities and Education   1   1   6   9   2     19
                                                                                         Cooks, Fast Food   2   5   5   5   2     19
                                                               Telecommunications Engineering Specialists   2   0   2  10   5     19
                                                                     Hotel, Motel, and Resort Desk Clerks   0   3   7   4   5     19
                                                                     Training and Development Specialists   0   0   5   7   7     19
                                                                                Bioinformatics Scientists   0   0   3   4  12     19
                                                                Weatherization Installers and Technicians   7   5   3   3   1     19
                                                                               Water Resource Specialists   0   0   2  13   4     19
                                                              Broadcast Announcers and Radio Disc Jockeys   1   2   2  10   4     19
                                                                                    Broadcast Technicians   2   2   5   7   3     19
                                                                                            Veterinarians   4   0   3   9   3     19
                                                                                     Validation Engineers   2   0   3  11   3     19
                                                                                     Landscape Architects   1   0   7   9   2     19
                                                                        Transportation Security Screeners   4   1   0  14   0     19
        Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists   3   3  10   2   1     19
                                                                                Computer Systems Analysts   0   0   2   6  11     19
                                                                                    Intelligence Analysts   0   0   1  16   2     19
                                                                          Maids and Housekeeping Cleaners   8   9   1   1   0     19
                                                                                            Tire Builders   4   3   0  11   1     19
                                                                           Industrial Production Managers   0   0   0  15   4     19
                                                         Telecommunications Line Installers and Repairers  15   3   0   1   0     19
                                                                      Railroad Conductors and Yardmasters   0   2   4  13   0     19
                                                                       Teaching Assistants, Postsecondary   1   2   6   3   7     19
                                                                          Hydroelectric Plant Technicians   6   1   2   9   1     19
                                                                     Computer Network Support Specialists   1   0   4   7   7     19
                                                                   Architectural and Engineering Managers   0   0   1  18   0     19
                                                Probation Officers and Correctional Treatment Specialists   0   1   2  16   0     19
                                                                                             Paperhangers  14   4   1   0   0     19
                                                                                    Power Plant Operators   1   0   0  17   1     19
                                                       Farmworkers, Farm, Ranch, and Aquacultural Animals  11   1   2   4   1     19
                                                                      Forest and Conservation Technicians   6   2   1   9   1     19
                                                                                        Gambling Managers   0   1   1  17   0     19
                                                                                 Printing Press Operators   4   2   3   5   5     19
                                                                                        Fashion Designers   1   1  10   3   4     19
                                                                                       Procurement Clerks   0   0   4   7   8     19
                                                                          Nuclear Power Reactor Operators   0   0   0  18   1     19
                                                                                   Film and Video Editors   0   0   7   5   7     19
                                                                                Public Relations Managers   0   0   5  14   0     19
                                                                                     Electrical Engineers   0   0   2  13   4     19
                                                                                    Photonics Technicians   3   1   2  10   3     19
                                            Photographic Process Workers and Processing Machine Operators   2   3   5   7   2     19
                                                                                                  Nannies  11   2   4   2   0     19
                                                                                 Environmental Economists   0   0   1   7  11     19
                                                                                           Choreographers   1   0  12   4   1     18
                                                                              Manicurists and Pedicurists  12   3   0   1   2     18
                                                                            Chief Sustainability Officers   0   0   0  14   4     18
                                                                         Atmospheric and Space Scientists   1   0   2   6   9     18
                                                                       Cleaners of Vehicles and Equipment   7   5   1   5   0     18
                                                                                                Orderlies   8   3   1   6   0     18
                                                                                                   Actors  10   1   2   1   4     18
                                                                                             Order Clerks   0   0   1   8   9     18
                                                                               Disc Jockeys, Except Radio   2   3   5   2   6     18
                                                                                                  Barbers   9   4   2   0   3     18
