occupation,AGI-specific,NOT AGI-specific
Remote Sensing Scientists and Technologists,19,5
Forest Fire Inspectors and Prevention Specialists,11,5
Chemical Equipment Operators and Tenders,18,5
First-Line Supervisors of Security Workers,16,5
Parts Salespersons,14,5
Parking Attendants,10,5
First-Line Supervisors of Housekeeping and Janitorial Workers,21,5
First-Line Supervisors of Firefighting and Prevention Workers,25,5
Nanosystems Engineers,20,5
Bioengineers and Biomedical Engineers,25,5
Music Therapists,25,5
Music Directors and Composers,25,5
Museum Technicians and Conservators,19,5
Pest Control Workers,8,5
Metal-Refining Furnace Operators and Tenders,10,5
Physician Assistants,7,5
Hearing Aid Specialists,6,5
"Model Makers, Wood",9,5
Police Identification and Records Officers,11,5
Bakers,13,5
Fast Food and Counter Workers,22,5
Information Security Engineers,15,5
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",10,5
"Pourers and Casters, Metal",11,5
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",12,5
Computer Hardware Engineers,13,5
Occupational Therapy Aides,10,5
Correctional Officers and Jailers,22,5
Subway and Streetcar Operators,5,5
Urologists,9,5
Adhesive Bonding Machine Operators and Tenders,11,5
"Camera Operators, Television, Video, and Film",16,5
Surveyors,19,5
"Laborers and Freight, Stock, and Material Movers, Hand",8,5
"Locker Room, Coatroom, and Dressing Room Attendants",18,5
Advanced Practice Psychiatric Nurses,19,5
Helpers--Production Workers,25,5
Telephone Operators,9,5
Travel Guides,12,5
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",18,5
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",10,5
Tire Builders,15,5
Database Architects,20,5
Cytogenetic Technologists,25,5
Cashiers,23,5
Aerospace Engineering and Operations Technologists and Technicians,6,5
"Tool Grinders, Filers, and Sharpeners",13,5
Tour Guides and Escorts,14,5
Detectives and Criminal Investigators,25,5
Butchers and Meat Cutters,6,5
Industrial Engineering Technologists and Technicians,25,5
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",13,5
Web and Digital Interface Designers,25,5
Digital Forensics Analysts,15,5
"Mail Clerks and Mail Machine Operators, Except Postal Service",21,5
"Insulation Workers, Floor, Ceiling, and Wall",5,5
Solar Sales Representatives and Assessors,8,5
Industrial Truck and Tractor Operators,4,5
"Cooks, Private Household",8,5
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",16,5
Dining Room and Cafeteria Attendants and Bartender Helpers,18,5
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",16,5
Hydrologic Technicians,11,5
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",15,5
Data Warehousing Specialists,12,6
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",19,6
Floor Sanders and Finishers,1,6
Flight Attendants,19,6
