occupation,A0,A1,A2,A3,A4,P
Foresters,4,1,7,12,1,0
"Forestry and Conservation Science Teachers, Postsecondary",1,1,6,10,7,0
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",2,4,1,6,0,0
Foundry Mold and Coremakers,6,2,0,5,0,0
"Fraud Examiners, Investigators and Analysts",2,0,0,15,4,2
Freight Forwarders,0,0,5,19,3,4
Fuel Cell Engineers,1,0,2,12,2,9
Fundraisers,1,0,4,20,3,0
Fundraising Managers,0,0,2,10,4,0
Funeral Attendants,11,7,2,3,1,0
Funeral Home Managers,1,0,4,14,4,0
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",1,6,3,2,1,4
Furniture Finishers,12,3,3,3,1,0
Gambling Cage Workers,1,2,3,11,0,0
Gambling Change Persons and Booth Cashiers,0,2,2,9,0,0
Gambling Dealers,3,5,2,6,1,4
Gambling Managers,0,1,1,17,0,0
Gambling Surveillance Officers and Gambling Investigators,0,0,1,4,1,2
Gambling and Sports Book Writers and Runners,2,4,0,7,1,4
Gas Compressor and Gas Pumping Station Operators,4,1,0,5,1,2
Gas Plant Operators,2,1,1,11,0,4
Gem and Diamond Workers,4,1,1,1,4,3
General Internal Medicine Physicians,2,0,0,15,1,1
General and Operations Managers,1,0,0,12,2,2
Genetic Counselors,0,0,5,12,0,2
Geneticists,0,0,4,13,5,2
Geodetic Surveyors,0,0,3,8,3,2
Geographers,1,0,1,1,5,4
Geographic Information Systems Technologists and Technicians,0,0,4,7,11,7
"Geography Teachers, Postsecondary",1,2,9,6,6,1
"Geological Technicians, Except Hydrologic Technicians",3,0,6,8,3,9
"Geoscientists, Except Hydrologists and Geographers",1,1,4,19,4,3
Geothermal Production Managers,2,0,1,12,1,1
Geothermal Technicians,6,2,4,2,2,8
"Glass Blowers, Molders, Benders, and Finishers",5,3,0,5,2,1
Glaziers,17,9,1,0,0,0
Government Property Inspectors and Investigators,0,1,2,9,1,0
"Graders and Sorters, Agricultural Products",0,0,0,1,4,0
Graphic Designers,0,0,6,0,10,3
"Grinding and Polishing Workers, Hand",4,8,1,1,1,2
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0,5,3,5,2,3
"Hairdressers, Hairstylists, and Cosmetologists",13,3,4,0,2,0
Hazardous Materials Removal Workers,4,1,4,8,1,3
Health Education Specialists,0,1,3,8,4,0
Health Informatics Specialists,1,0,2,10,2,2
Health Information Technologists and Medical Registrars,0,0,0,12,2,2
"Health Specialties Teachers, Postsecondary",1,0,6,7,8,0
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1,0,2,24,0,0
Healthcare Social Workers,0,0,7,7,1,2
Hearing Aid Specialists,1,1,4,1,0,4
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",1,2,1,16,0,3
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",16,2,2,4,3,3
Heavy and Tractor-Trailer Truck Drivers,7,5,3,6,3,5
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",7,6,2,0,0,0
Helpers--Carpenters,7,3,4,4,0,0
Helpers--Electricians,17,2,3,3,0,0
Helpers--Extraction Workers,9,3,0,2,0,0
"Helpers--Installation, Maintenance, and Repair Workers",6,4,1,2,2,1
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",4,5,1,1,0,0
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",12,1,1,1,0,0
Helpers--Production Workers,1,12,3,8,2,4
Helpers--Roofers,15,1,1,0,0,1
Highway Maintenance Workers,10,0,2,7,0,0
Histology Technicians,2,1,1,3,0,1
Historians,1,1,4,3,12,0
"History Teachers, Postsecondary",1,0,7,12,5,0
Histotechnologists,4,0,4,5,1,2
Hoist and Winch Operators,5,2,2,3,0,1
Home Appliance Repairers,13,6,2,4,3,1
Home Health Aides,10,0,2,3,0,0
Hospitalists,0,1,1,11,1,0
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",3,3,7,2,2,3
"Hotel, Motel, and Resort Desk Clerks",0,3,7,4,5,1
Human Factors Engineers and Ergonomists,1,0,3,12,7,3
"Human Resources Assistants, Except Payroll and Timekeeping",0,0,5,12,1,1
Human Resources Managers,0,0,2,23,1,0
Human Resources Specialists,0,2,4,18,0,2
Hydroelectric Plant Technicians,6,1,2,9,1,2
Hydroelectric Production Managers,0,1,0,15,0,2
Hydrologic Technicians,4,0,1,5,5,1
Hydrologists,1,0,5,13,4,2
Industrial Ecologists,0,0,5,18,13,2
Industrial Engineering Technologists and Technicians,0,1,4,16,4,5
Industrial Engineers,0,0,0,8,9,3
Industrial Machinery Mechanics,6,2,3,1,1,3
Industrial Production Managers,0,0,0,15,4,2
Industrial Truck and Tractor Operators,1,1,0,3,0,4
Industrial-Organizational Psychologists,0,0,5,14,4,2
Information Security Analysts,0,0,0,5,2,4
Information Security Engineers,0,0,0,14,1,5
Information Technology Project Managers,0,0,1,10,9,1
"Inspectors, Testers, Sorters, Samplers, and Weighers",3,3,8,10,4,3
Instructional Coordinators,0,1,8,16,4,1
"Insulation Workers, Floor, Ceiling, and Wall",5,3,2,0,0,0
"Insulation Workers, Mechanical",6,2,1,0,0,0
"Insurance Appraisers, Auto Damage",0,0,2,2,0,3
Insurance Claims and Policy Processing Clerks,0,0,7,12,5,1
Insurance Sales Agents,1,0,6,9,2,1
Insurance Underwriters,0,0,0,7,0,0
Intelligence Analysts,0,0,1,16,2,2
Interior Designers,1,1,5,6,2,1
Interpreters and Translators,0,1,4,1,8,3
"Interviewers, Except Eligibility and Loan",1,1,5,5,2,2
Investment Fund Managers,0,0,1,19,0,0
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",8,6,3,4,0,0
Jewelers and Precious Stone and Metal Workers,11,1,3,12,3,0
"Judges, Magistrate Judges, and Magistrates",1,0,0,20,0,0
Judicial Law Clerks,2,0,2,14,0,0
"Kindergarten Teachers, Except Special Education",8,4,17,6,1,1
Labor Relations Specialists,0,0,3,24,1,0
"Laborers and Freight, Stock, and Material Movers, Hand",2,5,3,0,0,3
Landscape Architects,1,0,7,9,2,0
Landscaping and Groundskeeping Workers,15,2,3,3,1,2
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1,3,7,4,0,3
Laundry and Dry-Cleaning Workers,5,11,2,3,0,2
"Law Teachers, Postsecondary",1,0,8,9,5,0
Lawyers,0,0,1,21,0,0
"Layout Workers, Metal and Plastic",2,2,3,4,2,1
Legal Secretaries and Administrative Assistants,0,1,1,8,2,2
Legislators,1,1,4,24,0,0
Librarians and Media Collections Specialists,1,1,12,10,4,2
"Library Assistants, Clerical",1,7,13,2,7,2
"Library Science Teachers, Postsecondary",1,0,10,8,6,0
Library Technicians,3,5,8,5,9,1
Licensed Practical and Licensed Vocational Nurses,6,3,4,7,0,2
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",8,2,0,4,0,1
Light Truck Drivers,4,3,3,3,0,0
Lighting Technicians,6,0,3,2,0,5
"Loading and Moving Machine Operators, Underground Mining",7,4,1,13,0,0
Loan Interviewers and Clerks,0,2,0,12,2,2
Loan Officers,0,0,3,23,3,1
"Locker Room, Coatroom, and Dressing Room Attendants",4,8,6,3,1,1
Locksmiths and Safe Repairers,10,1,0,0,1,2
Locomotive Engineers,0,2,0,10,0,2
Lodging Managers,0,0,7,13,3,1
Log Graders and Scalers,4,1,4,3,0,0
Logging Equipment Operators,3,2,2,1,0,1
Logisticians,0,0,3,12,7,0
Logistics Analysts,0,0,2,11,14,4
Logistics Engineers,0,0,2,14,8,6
Loss Prevention Managers,0,1,3,20,3,0
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",3,3,10,2,1,2
Machine Feeders and Offbearers,1,3,0,5,3,1
Machinists,4,2,6,10,3,4
